List of Differential Expressed Genes,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PDAP1,3.36E-33,-0.246411084,0.295,0.424,8.72E-29,Profi_TAM,PDAP1
CENPH,3.40E-33,-1.228020326,0.034,0.101,8.82E-29,Profi_TAM,CENPH
CHD9.1,3.48E-33,-0.141829227,0.361,0.501,9.04E-29,Profi_TAM,CHD9
CYC1,3.68E-33,-0.246615413,0.413,0.568,9.54E-29,Profi_TAM,CYC1
HMGB2.1,3.84E-33,-0.626202708,0.3,0.424,9.96E-29,Profi_TAM,HMGB2
LTBP3.1,4.09E-33,-0.355188205,0.111,0.206,1.06E-28,Profi_TAM,LTBP3
HADHA.1,4.55E-33,-0.192406392,0.415,0.565,1.18E-28,Profi_TAM,HADHA
CXCL8.1,4.64E-33,0.960421155,0.77,0.745,1.20E-28,Profi_TAM,CXCL8
SLC29A1.1,4.67E-33,1.045315626,0.299,0.223,1.21E-28,Profi_TAM,SLC29A1
SATB1.1,4.71E-33,1.040050322,0.134,0.071,1.22E-28,Profi_TAM,SATB1
C14orf1.1,4.75E-33,-0.587420182,0.086,0.172,1.23E-28,Profi_TAM,C14orf1
NIT1.1,4.99E-33,-0.463711483,0.136,0.235,1.29E-28,Profi_TAM,NIT1
PLA1A.1,5.11E-33,-1.210347743,0.037,0.105,1.33E-28,Profi_TAM,PLA1A
SURF2.1,5.12E-33,-0.490953319,0.128,0.225,1.33E-28,Profi_TAM,SURF2
TIMP2.1,5.26E-33,0.54727149,0.67,0.718,1.37E-28,Profi_TAM,TIMP2
DRAM2.1,5.38E-33,0.714822194,0.583,0.576,1.40E-28,Profi_TAM,DRAM2
ERAP2.1,5.48E-33,-0.354660756,0.182,0.292,1.42E-28,Profi_TAM,ERAP2
SDHB.1,5.78E-33,-0.258463175,0.424,0.573,1.50E-28,Profi_TAM,SDHB
CDC40.1,5.88E-33,-0.324491213,0.223,0.34,1.53E-28,Profi_TAM,CDC40
GGPS1.1,6.17E-33,-0.439548078,0.148,0.252,1.60E-28,Profi_TAM,GGPS1
MTDH.1,6.46E-33,-0.2020866,0.715,0.862,1.68E-28,Profi_TAM,MTDH
CHIC2.1,6.87E-33,-0.408393047,0.093,0.182,1.78E-28,Profi_TAM,CHIC2
CCL23.1,6.98E-33,-0.59737303,0.171,0.275,1.81E-28,Profi_TAM,CCL23
EIF1AY.1,6.98E-33,-0.434788492,0.234,0.349,1.81E-28,Profi_TAM,EIF1AY
TAF12.1,7.17E-33,-0.285234725,0.275,0.4,1.86E-28,Profi_TAM,TAF12
TMEM126B.1,7.45E-33,-0.184061616,0.324,0.459,1.93E-28,Profi_TAM,TMEM126B
DNAJC8.1,7.66E-33,-0.22539594,0.412,0.557,1.99E-28,Profi_TAM,DNAJC8
MAP4K5.1,7.95E-33,-0.457071132,0.088,0.177,2.06E-28,Profi_TAM,MAP4K5
RFXANK.1,8.38E-33,-0.277801873,0.227,0.346,2.18E-28,Profi_TAM,RFXANK
SMIM10L1.1,8.46E-33,-0.405020073,0.185,0.293,2.20E-28,Profi_TAM,SMIM10L1
METTL22.1,8.90E-33,-0.655480174,0.144,0.241,2.31E-28,Profi_TAM,METTL22
RIOK3.1,9.36E-33,-0.296180121,0.266,0.388,2.43E-28,Profi_TAM,RIOK3
CHCHD3.1,1.04E-32,-0.345724697,0.217,0.331,2.70E-28,Profi_TAM,CHCHD3
IMP3.1,1.05E-32,-0.11554003,0.298,0.431,2.72E-28,Profi_TAM,IMP3
PQBP1.1,1.14E-32,-0.276096097,0.242,0.362,2.97E-28,Profi_TAM,PQBP1
SLC37A1.1,1.19E-32,-0.781360797,0.064,0.142,3.08E-28,Profi_TAM,SLC37A1
CCDC88B.1,1.23E-32,-0.172057171,0.088,0.178,3.18E-28,Profi_TAM,CCDC88B
SERTAD3.1,1.24E-32,-0.412850406,0.114,0.209,3.23E-28,Profi_TAM,SERTAD3
MRPS10.1,1.35E-32,-0.409547377,0.191,0.301,3.50E-28,Profi_TAM,MRPS10
NRP1.1,1.41E-32,1.203949122,0.38,0.312,3.65E-28,Profi_TAM,NRP1
NOC2L.1,1.51E-32,-0.501536392,0.12,0.214,3.91E-28,Profi_TAM,NOC2L
C1orf122.1,1.55E-32,-0.280805329,0.368,0.507,4.02E-28,Profi_TAM,C1orf122
NDUFAF4.1,1.72E-32,-0.678347573,0.134,0.23,4.46E-28,Profi_TAM,NDUFAF4
SNW1.1,1.73E-32,-0.284081814,0.251,0.369,4.48E-28,Profi_TAM,SNW1
CYB5B.1,1.75E-32,-0.3140854,0.185,0.296,4.53E-28,Profi_TAM,CYB5B
PTGS1.1,1.83E-32,1.321075764,0.17,0.101,4.75E-28,Profi_TAM,PTGS1
SURF1.1,1.96E-32,-0.198942066,0.409,0.55,5.09E-28,Profi_TAM,SURF1
FAM177A1.1,2.04E-32,-0.146943633,0.362,0.503,5.29E-28,Profi_TAM,FAM177A1
CD22,2.15E-32,1.193367236,0.1,0.047,5.57E-28,Profi_TAM,CD22
ATP5H,2.19E-32,-0.180063108,0.705,0.865,5.67E-28,Profi_TAM,ATP5H
PRKCH.1,2.26E-32,-0.782814629,0.071,0.152,5.85E-28,Profi_TAM,PRKCH
UBQLN1.1,2.35E-32,-0.233138854,0.297,0.423,6.11E-28,Profi_TAM,UBQLN1
CCNDBP1.1,2.42E-32,-0.344500406,0.241,0.354,6.28E-28,Profi_TAM,CCNDBP1
DGCR6L.1,2.45E-32,-0.178502262,0.38,0.523,6.37E-28,Profi_TAM,DGCR6L
MFF.1,2.59E-32,-0.238783131,0.287,0.413,6.73E-28,Profi_TAM,MFF
ACYP1.1,2.60E-32,-0.819058027,0.066,0.144,6.76E-28,Profi_TAM,ACYP1
HUS1.1,2.66E-32,-0.485182821,0.127,0.221,6.89E-28,Profi_TAM,HUS1
BAG4.1,2.86E-32,-0.662580922,0.103,0.193,7.42E-28,Profi_TAM,BAG4
COX5A.1,2.92E-32,-0.209389382,0.682,0.853,7.57E-28,Profi_TAM,COX5A
ABHD12.1,2.97E-32,0.693792514,0.521,0.493,7.72E-28,Profi_TAM,ABHD12
ITSN1,3.02E-32,1.502950826,0.15,0.086,7.82E-28,Profi_TAM,ITSN1
TMEM9B.1,3.07E-32,-0.144418503,0.409,0.557,7.98E-28,Profi_TAM,TMEM9B
AK2,3.18E-32,-0.29754301,0.235,0.351,8.25E-28,Profi_TAM,AK2
CALM3.1,3.21E-32,0.595854828,0.657,0.716,8.33E-28,Profi_TAM,CALM3
TMEM134.1,3.31E-32,-0.247875799,0.335,0.468,8.58E-28,Profi_TAM,TMEM134
TRAP1.1,3.38E-32,-0.727652897,0.083,0.167,8.76E-28,Profi_TAM,TRAP1
ARPC5L.1,3.60E-32,-0.319897769,0.26,0.378,9.35E-28,Profi_TAM,ARPC5L
PRKAG1.1,3.68E-32,-0.446159233,0.18,0.286,9.54E-28,Profi_TAM,PRKAG1
B9D2.1,3.69E-32,-0.842545423,0.059,0.136,9.57E-28,Profi_TAM,B9D2
NLRP3.1,3.77E-32,1.548008171,0.146,0.083,9.78E-28,Profi_TAM,NLRP3
OLA1.1,3.80E-32,-0.241542379,0.32,0.452,9.86E-28,Profi_TAM,OLA1
RPL27,3.94E-32,-0.105433669,0.976,0.991,1.02E-27,Profi_TAM,RPL27
PHB2.1,4.25E-32,-0.246656905,0.391,0.534,1.10E-27,Profi_TAM,PHB2
ANAPC10.1,4.36E-32,-0.321665917,0.159,0.262,1.13E-27,Profi_TAM,ANAPC10
DTYMK,4.54E-32,-0.66837661,0.134,0.229,1.18E-27,Profi_TAM,DTYMK
HK1.1,4.65E-32,-0.372651333,0.21,0.32,1.21E-27,Profi_TAM,HK1
SRP72.1,4.77E-32,-0.217223308,0.4,0.542,1.24E-27,Profi_TAM,SRP72
CCZ1.1,4.92E-32,-0.346833246,0.163,0.266,1.28E-27,Profi_TAM,CCZ1
ASCC2.1,4.94E-32,-0.389495345,0.15,0.25,1.28E-27,Profi_TAM,ASCC2
DAZAP2.1,5.13E-32,0.495304389,0.706,0.748,1.33E-27,Profi_TAM,DAZAP2
CRYL1,5.19E-32,1.017453717,0.351,0.278,1.35E-27,Profi_TAM,CRYL1
TAPBPL.1,5.47E-32,-0.389544977,0.182,0.287,1.42E-27,Profi_TAM,TAPBPL
PCSK7.1,5.74E-32,-0.260024859,0.201,0.315,1.49E-27,Profi_TAM,PCSK7
VTI1B.1,5.96E-32,-0.208674498,0.493,0.652,1.55E-27,Profi_TAM,VTI1B
PYGB.1,6.09E-32,-0.623103186,0.099,0.186,1.58E-27,Profi_TAM,PYGB
MED7.1,6.28E-32,-0.564674106,0.089,0.174,1.63E-27,Profi_TAM,MED7
PYM1.1,6.42E-32,-0.307151902,0.175,0.279,1.66E-27,Profi_TAM,PYM1
HSPBP1.1,6.66E-32,-0.649460518,0.092,0.176,1.73E-27,Profi_TAM,HSPBP1
SLAMF8.1,6.93E-32,0.859991511,0.365,0.284,1.80E-27,Profi_TAM,SLAMF8
NMI.1,7.07E-32,-0.279919449,0.279,0.4,1.83E-27,Profi_TAM,NMI
ATG16L2.1,7.71E-32,-0.285837022,0.147,0.248,2.00E-27,Profi_TAM,ATG16L2
MRPL37.1,8.15E-32,-0.463701954,0.217,0.324,2.11E-27,Profi_TAM,MRPL37
ATXN3.1,8.41E-32,-0.33671997,0.161,0.264,2.18E-27,Profi_TAM,ATXN3
PLK3.1,8.54E-32,-0.173651339,0.315,0.451,2.21E-27,Profi_TAM,PLK3
HENMT1.1,9.04E-32,-0.880565554,0.057,0.132,2.34E-27,Profi_TAM,HENMT1
RPL10.1,1.05E-31,0.149624776,0.999,0.999,2.72E-27,Profi_TAM,RPL10
ALG14.1,1.09E-31,-0.687617622,0.099,0.184,2.84E-27,Profi_TAM,ALG14
GSTK1.1,1.10E-31,-0.208090557,0.594,0.756,2.84E-27,Profi_TAM,GSTK1
PSD3.1,1.12E-31,-0.255631891,0.089,0.177,2.91E-27,Profi_TAM,PSD3
TBC1D4.1,1.21E-31,-0.162659039,0.112,0.209,3.14E-27,Profi_TAM,TBC1D4
RPS3.1,1.28E-31,-0.15567561,0.973,0.994,3.32E-27,Profi_TAM,RPS3
SRP9.1,1.33E-31,-0.194951639,0.513,0.663,3.45E-27,Profi_TAM,SRP9
EIF3L.1,1.34E-31,-0.173117022,0.573,0.732,3.47E-27,Profi_TAM,EIF3L
RHOF,1.36E-31,-0.939410374,0.065,0.143,3.54E-27,Profi_TAM,RHOF
ARL6IP4.1,1.37E-31,-0.171318388,0.744,0.881,3.56E-27,Profi_TAM,ARL6IP4
HLA-DQA1,1.39E-31,0.382943193,0.938,0.942,3.61E-27,Profi_TAM,HLA-DQA1
TXNL4A.1,1.47E-31,-0.27692224,0.319,0.447,3.81E-27,Profi_TAM,TXNL4A
GNGT2.1,1.47E-31,-0.761960849,0.124,0.215,3.82E-27,Profi_TAM,GNGT2
FLVCR2.1,1.49E-31,-0.340219905,0.236,0.35,3.85E-27,Profi_TAM,FLVCR2
ARRB1.1,1.52E-31,-0.323283944,0.195,0.305,3.94E-27,Profi_TAM,ARRB1
VPS28.1,1.64E-31,-0.163865934,0.586,0.743,4.24E-27,Profi_TAM,VPS28
MRPL16.1,1.93E-31,-0.409457271,0.2,0.309,5.01E-27,Profi_TAM,MRPL16
NDUFB4.1,1.99E-31,-0.138840111,0.621,0.775,5.17E-27,Profi_TAM,NDUFB4
TRIM44.1,2.00E-31,-0.196877365,0.292,0.419,5.19E-27,Profi_TAM,TRIM44
ACTR10.1,2.02E-31,-0.351461367,0.236,0.352,5.24E-27,Profi_TAM,ACTR10
SNRPD2.1,2.10E-31,-0.156990058,0.652,0.816,5.46E-27,Profi_TAM,SNRPD2
EXOSC4.1,2.15E-31,-0.449745772,0.167,0.27,5.59E-27,Profi_TAM,EXOSC4
PEF1.1,2.17E-31,-0.425405052,0.162,0.264,5.63E-27,Profi_TAM,PEF1
C6orf47.1,2.18E-31,-0.687255558,0.096,0.183,5.66E-27,Profi_TAM,C6orf47
BET1.1,2.24E-31,-0.480823704,0.148,0.246,5.81E-27,Profi_TAM,BET1
IL10RA.1,2.35E-31,0.91851878,0.418,0.346,6.10E-27,Profi_TAM,IL10RA
DPCD.1,2.39E-31,-0.829059313,0.056,0.13,6.20E-27,Profi_TAM,DPCD
GALM.1,2.52E-31,0.608846955,0.235,0.151,6.55E-27,Profi_TAM,GALM
C1orf123.1,2.65E-31,-0.237769556,0.229,0.347,6.87E-27,Profi_TAM,C1orf123
CCDC25.1,2.69E-31,-0.389410696,0.192,0.299,6.97E-27,Profi_TAM,CCDC25
SARS.1,2.76E-31,-0.258161123,0.269,0.388,7.17E-27,Profi_TAM,SARS
PSMD11.1,2.85E-31,-0.189609404,0.283,0.406,7.39E-27,Profi_TAM,PSMD11
FAM110A.1,2.85E-31,-0.189262275,0.099,0.188,7.40E-27,Profi_TAM,FAM110A
CMPK2.1,2.94E-31,-0.726443017,0.065,0.142,7.64E-27,Profi_TAM,CMPK2
GNG12.1,3.07E-31,-0.414045398,0.07,0.149,7.97E-27,Profi_TAM,GNG12
NDUFB2.1,3.11E-31,-0.183981182,0.769,0.906,8.07E-27,Profi_TAM,NDUFB2
TATDN1.1,3.26E-31,-0.347587162,0.194,0.303,8.45E-27,Profi_TAM,TATDN1
SOWAHC.1,3.30E-31,-0.584053009,0.063,0.139,8.56E-27,Profi_TAM,SOWAHC
PNO1.1,3.46E-31,-0.479639654,0.091,0.176,8.97E-27,Profi_TAM,PNO1
STX8.1,3.75E-31,-0.209977249,0.287,0.414,9.73E-27,Profi_TAM,STX8
SFTPA2.1,3.76E-31,-0.084245734,0.289,0.414,9.76E-27,Profi_TAM,SFTPA2
MTIF3.1,3.85E-31,-0.158317032,0.413,0.557,9.98E-27,Profi_TAM,MTIF3
PTRH1.1,3.85E-31,-0.362297531,0.174,0.277,1.00E-26,Profi_TAM,PTRH1
MTX2.1,3.91E-31,-0.313881657,0.172,0.276,1.01E-26,Profi_TAM,MTX2
CTDNEP1.1,3.97E-31,-0.163173024,0.399,0.541,1.03E-26,Profi_TAM,CTDNEP1
BAG6.1,4.12E-31,-0.223271505,0.239,0.357,1.07E-26,Profi_TAM,BAG6
RAB11B.1,4.18E-31,-0.148120424,0.319,0.451,1.08E-26,Profi_TAM,RAB11B
RHOA.1,4.96E-31,-0.158562502,0.871,0.963,1.29E-26,Profi_TAM,RHOA
DDHD1.1,5.84E-31,-0.34978513,0.191,0.298,1.51E-26,Profi_TAM,DDHD1
ATG2A.1,5.96E-31,-0.573157576,0.076,0.156,1.55E-26,Profi_TAM,ATG2A
PSMD9.1,6.08E-31,-0.331895716,0.143,0.24,1.58E-26,Profi_TAM,PSMD9
SLC38A10.1,6.10E-31,-0.176582257,0.215,0.329,1.58E-26,Profi_TAM,SLC38A10
CNTRL.1,6.20E-31,-0.370561985,0.124,0.22,1.61E-26,Profi_TAM,CNTRL
RPAIN.1,6.44E-31,-0.257553077,0.208,0.319,1.67E-26,Profi_TAM,RPAIN
SSH2.1,7.12E-31,-0.315764258,0.151,0.252,1.85E-26,Profi_TAM,SSH2
VAMP3.1,7.46E-31,-0.139281294,0.397,0.54,1.93E-26,Profi_TAM,VAMP3
SLC36A4.1,7.81E-31,-0.57901422,0.127,0.219,2.03E-26,Profi_TAM,SLC36A4
DRG1.1,8.10E-31,-0.378027844,0.184,0.29,2.10E-26,Profi_TAM,DRG1
NEMF.1,8.18E-31,-0.215699544,0.292,0.414,2.12E-26,Profi_TAM,NEMF
POU2F2.1,8.57E-31,1.207905072,0.122,0.064,2.22E-26,Profi_TAM,POU2F2
FPR1.1,9.25E-31,-0.333773011,0.338,0.464,2.40E-26,Profi_TAM,FPR1
EGLN2.1,9.78E-31,-0.188508384,0.268,0.39,2.54E-26,Profi_TAM,EGLN2
AGFG1.1,1.04E-30,-0.220747152,0.194,0.303,2.71E-26,Profi_TAM,AGFG1
SRM.1,1.05E-30,-0.384909502,0.221,0.33,2.73E-26,Profi_TAM,SRM
C2orf47.1,1.09E-30,-0.610892127,0.092,0.174,2.82E-26,Profi_TAM,C2orf47
TIMM13.1,1.09E-30,-0.214526147,0.492,0.65,2.84E-26,Profi_TAM,TIMM13
MRPL40.1,1.13E-30,-0.248532716,0.331,0.46,2.92E-26,Profi_TAM,MRPL40
CDIPT.1,1.19E-30,-0.270125081,0.253,0.37,3.08E-26,Profi_TAM,CDIPT
BTG3.1,1.20E-30,-0.320915008,0.158,0.261,3.10E-26,Profi_TAM,BTG3
ARF6,1.21E-30,-0.130672168,0.518,0.675,3.13E-26,Profi_TAM,ARF6
AKT3.1,1.27E-30,-0.48930249,0.05,0.122,3.29E-26,Profi_TAM,AKT3
DNAJC3.1,1.31E-30,-0.259293727,0.349,0.485,3.39E-26,Profi_TAM,DNAJC3
ATP6AP2.1,1.34E-30,0.457368881,0.727,0.776,3.46E-26,Profi_TAM,ATP6AP2
SULT1A1.1,1.34E-30,-0.34762979,0.191,0.297,3.48E-26,Profi_TAM,SULT1A1
SLC19A1.1,1.41E-30,-0.968867073,0.071,0.148,3.66E-26,Profi_TAM,SLC19A1
CD109.1,1.52E-30,-0.454134724,0.085,0.168,3.93E-26,Profi_TAM,CD109
FXN.1,1.58E-30,-0.514641579,0.098,0.183,4.11E-26,Profi_TAM,FXN
ATPIF1.1,1.85E-30,-0.145274607,0.612,0.764,4.80E-26,Profi_TAM,ATPIF1
ATP9B.1,1.91E-30,-0.599302269,0.075,0.153,4.96E-26,Profi_TAM,ATP9B
PSEN1.1,1.95E-30,-0.268575421,0.237,0.351,5.05E-26,Profi_TAM,PSEN1
CLIP4.1,2.00E-30,-0.389282704,0.201,0.308,5.20E-26,Profi_TAM,CLIP4
DYNC1LI1.1,2.04E-30,-0.393194179,0.194,0.299,5.28E-26,Profi_TAM,DYNC1LI1
PAPOLA,2.33E-30,-0.133883355,0.491,0.646,6.05E-26,Profi_TAM,PAPOLA
SLC39A3.1,2.34E-30,-0.35885622,0.228,0.341,6.07E-26,Profi_TAM,SLC39A3
VBP1.1,2.43E-30,-0.364177232,0.196,0.303,6.31E-26,Profi_TAM,VBP1
SAMSN1.1,2.48E-30,0.71159573,0.426,0.347,6.44E-26,Profi_TAM,SAMSN1
GLRX3.1,2.55E-30,-0.213312572,0.284,0.411,6.62E-26,Profi_TAM,GLRX3
COPZ1.1,2.69E-30,-0.251818876,0.391,0.525,6.99E-26,Profi_TAM,COPZ1
TBC1D2B.1,3.02E-30,1.336132906,0.179,0.112,7.83E-26,Profi_TAM,TBC1D2B
MRPL52.1,3.10E-30,-0.152720647,0.416,0.567,8.03E-26,Profi_TAM,MRPL52
FAM46A.1,3.14E-30,-0.193023148,0.2,0.312,8.14E-26,Profi_TAM,FAM46A
SNUPN.1,3.52E-30,-0.39421817,0.127,0.219,9.12E-26,Profi_TAM,SNUPN
URM1.1,3.56E-30,-0.303255755,0.258,0.376,9.24E-26,Profi_TAM,URM1
PAFAH1B3.1,3.72E-30,-0.50583069,0.11,0.198,9.64E-26,Profi_TAM,PAFAH1B3
FAM98C.1,3.88E-30,-0.413649954,0.076,0.156,1.01E-25,Profi_TAM,FAM98C
RUVBL2.1,3.98E-30,-0.535333156,0.121,0.213,1.03E-25,Profi_TAM,RUVBL2
LCMT1.1,4.13E-30,-0.396993527,0.18,0.282,1.07E-25,Profi_TAM,LCMT1
RNF141.1,4.24E-30,1.145521015,0.216,0.142,1.10E-25,Profi_TAM,RNF141
ATP5A1.1,4.76E-30,-0.233296922,0.546,0.694,1.23E-25,Profi_TAM,ATP5A1
RFWD2.1,4.80E-30,-0.309422831,0.136,0.232,1.25E-25,Profi_TAM,RFWD2
EPRS.1,4.88E-30,-0.488850269,0.166,0.264,1.27E-25,Profi_TAM,EPRS
SLC38A7.1,4.91E-30,1.033054274,0.139,0.077,1.28E-25,Profi_TAM,SLC38A7
DENND1B.1,5.03E-30,-0.273544923,0.132,0.228,1.30E-25,Profi_TAM,DENND1B
CEBPG.1,5.09E-30,-0.27880731,0.195,0.304,1.32E-25,Profi_TAM,CEBPG
TST.1,5.30E-30,-0.736597776,0.067,0.142,1.37E-25,Profi_TAM,TST
MRPL46.1,5.34E-30,-0.675855451,0.082,0.163,1.39E-25,Profi_TAM,MRPL46
TSSC4.1,5.40E-30,-0.149940458,0.172,0.276,1.40E-25,Profi_TAM,TSSC4
EIF5,5.69E-30,-0.178940622,0.629,0.777,1.48E-25,Profi_TAM,EIF5
CAPN1.1,5.74E-30,-0.218908873,0.245,0.363,1.49E-25,Profi_TAM,CAPN1
SLAMF7.1,6.24E-30,1.0313974,0.105,0.052,1.62E-25,Profi_TAM,SLAMF7
ALKBH5.1,6.62E-30,-0.187533343,0.201,0.312,1.72E-25,Profi_TAM,ALKBH5
RMND1.1,6.73E-30,-0.90082488,0.057,0.129,1.75E-25,Profi_TAM,RMND1
GTPBP2.1,7.09E-30,-0.91754929,0.044,0.11,1.84E-25,Profi_TAM,GTPBP2
ZNF24.1,7.41E-30,-0.316504932,0.168,0.268,1.92E-25,Profi_TAM,ZNF24
RPS21,7.58E-30,-0.115174772,0.901,0.964,1.97E-25,Profi_TAM,RPS21
SKP1.1,8.02E-30,-0.19532038,0.741,0.867,2.08E-25,Profi_TAM,SKP1
OGFOD3.1,8.07E-30,-0.292208334,0.189,0.293,2.09E-25,Profi_TAM,OGFOD3
MT-CO2.1,8.20E-30,-0.137651362,0.985,0.981,2.13E-25,Profi_TAM,MT-CO2
MYO1C.1,8.25E-30,-0.345884581,0.121,0.214,2.14E-25,Profi_TAM,MYO1C
IRF2BP2.1,8.54E-30,0.794843796,0.489,0.432,2.21E-25,Profi_TAM,IRF2BP2
SLC25A43.1,8.67E-30,-0.489769142,0.095,0.179,2.25E-25,Profi_TAM,SLC25A43
BLOC1S4.1,8.75E-30,-0.53258837,0.107,0.194,2.27E-25,Profi_TAM,BLOC1S4
FRA10AC1.1,8.85E-30,-0.460057407,0.12,0.21,2.30E-25,Profi_TAM,FRA10AC1
BZW1.1,8.85E-30,-0.086143786,0.427,0.58,2.30E-25,Profi_TAM,BZW1
KRR1.1,9.05E-30,-0.366641772,0.131,0.225,2.35E-25,Profi_TAM,KRR1
DOK1.1,9.15E-30,-0.371957945,0.2,0.305,2.37E-25,Profi_TAM,DOK1
RNF41.1,9.42E-30,-0.365613184,0.119,0.21,2.44E-25,Profi_TAM,RNF41
CCNH.1,1.02E-29,-0.030985765,0.21,0.326,2.64E-25,Profi_TAM,CCNH
IDH3G.1,1.05E-29,-0.215248241,0.389,0.523,2.72E-25,Profi_TAM,IDH3G
RPP38.1,1.07E-29,-0.581461724,0.094,0.176,2.78E-25,Profi_TAM,RPP38
DPM3.1,1.11E-29,-0.177502943,0.227,0.34,2.87E-25,Profi_TAM,DPM3
XRCC5.1,1.20E-29,-0.183176479,0.396,0.533,3.10E-25,Profi_TAM,XRCC5
ISCU.1,1.31E-29,-0.181173997,0.643,0.791,3.39E-25,Profi_TAM,ISCU
C18orf32.1,1.40E-29,-0.368360953,0.12,0.208,3.63E-25,Profi_TAM,C18orf32
HSPA6.1,1.53E-29,1.021663313,0.194,0.124,3.96E-25,Profi_TAM,HSPA6
ENTPD1.1,1.53E-29,1.027879891,0.265,0.186,3.97E-25,Profi_TAM,ENTPD1
MTF1.1,1.54E-29,-0.67984595,0.07,0.147,3.98E-25,Profi_TAM,MTF1
ZYG11B.1,1.54E-29,-0.418615351,0.14,0.233,3.99E-25,Profi_TAM,ZYG11B
CIAO1.1,1.70E-29,-0.407647224,0.154,0.251,4.40E-25,Profi_TAM,CIAO1
LPCAT2.1,1.72E-29,-0.050939739,0.225,0.343,4.47E-25,Profi_TAM,LPCAT2
PEMT.1,1.76E-29,-0.671447557,0.087,0.167,4.56E-25,Profi_TAM,PEMT
MFSD14B.1,1.80E-29,-0.223340068,0.24,0.353,4.67E-25,Profi_TAM,MFSD14B
ERI1.1,1.81E-29,-0.571064714,0.082,0.161,4.69E-25,Profi_TAM,ERI1
MACF1.1,1.87E-29,1.026275421,0.303,0.225,4.86E-25,Profi_TAM,MACF1
ASGR1,1.89E-29,-0.586312752,0.181,0.279,4.90E-25,Profi_TAM,ASGR1
DDAH2.1,1.89E-29,-0.164586891,0.54,0.689,4.90E-25,Profi_TAM,DDAH2
GMPR2.1,1.92E-29,-0.410141369,0.191,0.294,4.97E-25,Profi_TAM,GMPR2
ATG4A.1,1.97E-29,-0.815345724,0.059,0.13,5.10E-25,Profi_TAM,ATG4A
SYAP1.1,2.06E-29,0.040638572,0.287,0.416,5.35E-25,Profi_TAM,SYAP1
SDCCAG8.1,2.08E-29,-0.066864966,0.312,0.445,5.40E-25,Profi_TAM,SDCCAG8
ZDHHC24.1,2.55E-29,-0.261610152,0.269,0.384,6.61E-25,Profi_TAM,ZDHHC24
VARS.1,2.69E-29,-0.534432523,0.089,0.17,6.98E-25,Profi_TAM,VARS
RNF113A.1,2.71E-29,-0.561400792,0.095,0.179,7.03E-25,Profi_TAM,RNF113A
MYL6B.1,2.78E-29,1.169450244,0.142,0.081,7.21E-25,Profi_TAM,MYL6B
RRAS.1,2.97E-29,-0.386474229,0.165,0.263,7.71E-25,Profi_TAM,RRAS
RNF146.1,3.00E-29,-0.174368236,0.16,0.26,7.79E-25,Profi_TAM,RNF146
NOM1.1,3.01E-29,-0.613246427,0.08,0.159,7.81E-25,Profi_TAM,NOM1
TEX264.1,3.22E-29,-0.141452298,0.334,0.466,8.36E-25,Profi_TAM,TEX264
EIF5B.1,3.77E-29,-0.143806306,0.435,0.586,9.78E-25,Profi_TAM,EIF5B
UBE2J2.1,3.83E-29,-0.300916678,0.178,0.28,9.94E-25,Profi_TAM,UBE2J2
HEXA.1,3.94E-29,0.499290859,0.655,0.673,1.02E-24,Profi_TAM,HEXA
IFRD2.1,4.02E-29,-0.534235383,0.101,0.185,1.04E-24,Profi_TAM,IFRD2
FAM136A.1,4.04E-29,-0.338136144,0.183,0.284,1.05E-24,Profi_TAM,FAM136A
TRMO.1,4.39E-29,-0.57410894,0.062,0.135,1.14E-24,Profi_TAM,TRMO
TMEM258.1,4.40E-29,-0.163610838,0.676,0.83,1.14E-24,Profi_TAM,TMEM258
YBEY.1,4.47E-29,-0.302911263,0.186,0.29,1.16E-24,Profi_TAM,YBEY
PKN2.1,4.54E-29,-0.133202969,0.142,0.24,1.18E-24,Profi_TAM,PKN2
IER3IP1.1,5.04E-29,-0.165302715,0.337,0.466,1.31E-24,Profi_TAM,IER3IP1
MAN2B2.1,5.16E-29,-0.367619903,0.163,0.26,1.34E-24,Profi_TAM,MAN2B2
ACTR1B.1,5.39E-29,-0.346694238,0.122,0.212,1.40E-24,Profi_TAM,ACTR1B
ZBED5-AS1.1,5.53E-29,-0.547554756,0.106,0.191,1.43E-24,Profi_TAM,ZBED5-AS1
CECR1.1,6.22E-29,0.621279281,0.633,0.657,1.61E-24,Profi_TAM,CECR1
MRPL3.1,6.44E-29,-0.316208203,0.203,0.309,1.67E-24,Profi_TAM,MRPL3
RRP7A.1,6.89E-29,-0.248566364,0.231,0.342,1.79E-24,Profi_TAM,RRP7A
BEX4.1,7.16E-29,-0.139162997,0.331,0.462,1.86E-24,Profi_TAM,BEX4
PAF1.1,7.36E-29,-0.300221987,0.101,0.187,1.91E-24,Profi_TAM,PAF1
COPE.1,7.97E-29,-0.150797168,0.611,0.781,2.07E-24,Profi_TAM,COPE
PHF11.1,8.23E-29,-0.210570565,0.229,0.345,2.14E-24,Profi_TAM,PHF11
SHC1.1,8.29E-29,-0.393380546,0.113,0.199,2.15E-24,Profi_TAM,SHC1
TLR7.1,8.52E-29,1.38553357,0.17,0.106,2.21E-24,Profi_TAM,TLR7
