Cell-cell communication signalings in tumor conditions,,,,,,,,,,,
,source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
417,Proli_TRM,Proli_TRM,MIF,CD74_CD44,0.053705367,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
418,T cells,Proli_TRM,MIF,CD74_CD44,0.024388128,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
419,TAM,Proli_TRM,MIF,CD74_CD44,0.053295572,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
420,TRAM,Proli_TRM,MIF,CD74_CD44,0.027187392,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
421,Unknown,Proli_TRM,MIF,CD74_CD44,0.049758941,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
422,DC,T cells,MIF,CD74_CD44,0.02344986,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
423,Epithelial cells,T cells,MIF,CD74_CD44,0.040461706,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
424,Fibroblasts,T cells,MIF,CD74_CD44,0.03858294,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
425,Profi_TAM,T cells,MIF,CD74_CD44,0.021887511,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
426,Proli_TRM,T cells,MIF,CD74_CD44,0.035315949,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
427,T cells,T cells,MIF,CD74_CD44,0.015868972,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
428,TAM,T cells,MIF,CD74_CD44,0.035041278,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
429,TRAM,T cells,MIF,CD74_CD44,0.017708158,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
430,Unknown,T cells,MIF,CD74_CD44,0.032674172,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
431,DC,TAM,MIF,CD74_CD44,0.037718764,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
432,Endothelial cells,TAM,MIF,CD74_CD44,0.024655534,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
433,Epithelial cells,TAM,MIF,CD74_CD44,0.064399439,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
434,Fibroblasts,TAM,MIF,CD74_CD44,0.061480385,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
435,Monocytes,TAM,MIF,CD74_CD44,0.021241138,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
436,NK cells,TAM,MIF,CD74_CD44,0.025194724,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
437,Profi_TAM,TAM,MIF,CD74_CD44,0.035240054,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
438,Proli_TRM,TAM,MIF,CD74_CD44,0.05638828,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
439,T cells,TAM,MIF,CD74_CD44,0.025646157,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
440,TAM,TAM,MIF,CD74_CD44,0.055959224,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
441,TRAM,TAM,MIF,CD74_CD44,0.028585587,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
442,Unknown,TAM,MIF,CD74_CD44,0.052255592,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
443,DC,TRAM,MIF,CD74_CD44,0.036181334,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
444,Endothelial cells,TRAM,MIF,CD74_CD44,0.023637486,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
445,Epithelial cells,TRAM,MIF,CD74_CD44,0.061844389,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
446,Fibroblasts,TRAM,MIF,CD74_CD44,0.05903384,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
447,Monocytes,TRAM,MIF,CD74_CD44,0.020361131,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
448,NK cells,TRAM,MIF,CD74_CD44,0.024154965,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
449,Profi_TAM,TRAM,MIF,CD74_CD44,0.033800108,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
450,Proli_TRM,TRAM,MIF,CD74_CD44,0.054132683,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
451,T cells,TRAM,MIF,CD74_CD44,0.024588237,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
452,TAM,TRAM,MIF,CD74_CD44,0.053719813,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
453,TRAM,TRAM,MIF,CD74_CD44,0.027409825,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
454,Unknown,TRAM,MIF,CD74_CD44,0.050156521,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
455,DC,Unknown,MIF,CD74_CD44,0.03755236,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
456,Endothelial cells,Unknown,MIF,CD74_CD44,0.024545291,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
457,Epithelial cells,Unknown,MIF,CD74_CD44,0.064123172,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
458,Fibroblasts,Unknown,MIF,CD74_CD44,0.06121582,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
459,Monocytes,Unknown,MIF,CD74_CD44,0.021145831,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
460,NK cells,Unknown,MIF,CD74_CD44,0.025082132,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
461,Profi_TAM,Unknown,MIF,CD74_CD44,0.035084186,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
462,Proli_TRM,Unknown,MIF,CD74_CD44,0.056144317,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
463,T cells,Unknown,MIF,CD74_CD44,0.025531601,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
464,TAM,Unknown,MIF,CD74_CD44,0.055717008,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
465,TRAM,Unknown,MIF,CD74_CD44,0.028458284,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
466,Unknown,Unknown,MIF,CD74_CD44,0.052028524,0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
467,Monocytes,Endothelial cells,OSM,LIFR_IL6ST,0.003203949,0,OSM_LIFR_IL6ST,OSM - (LIFR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
468,Profi_TAM,Endothelial cells,OSM,LIFR_IL6ST,0.000618982,0,OSM_LIFR_IL6ST,OSM - (LIFR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
469,Proli_TRM,Endothelial cells,OSM,LIFR_IL6ST,0.002078684,0,OSM_LIFR_IL6ST,OSM - (LIFR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
470,TAM,Endothelial cells,OSM,LIFR_IL6ST,0.001686843,0,OSM_LIFR_IL6ST,OSM - (LIFR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
471,Unknown,Endothelial cells,OSM,LIFR_IL6ST,0.001048127,0,OSM_LIFR_IL6ST,OSM - (LIFR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
472,Monocytes,Epithelial cells,OSM,OSMR_IL6ST,0.001805317,0,OSM_OSMR_IL6ST,OSM - (OSMR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
473,Profi_TAM,Epithelial cells,OSM,OSMR_IL6ST,0.000348381,0,OSM_OSMR_IL6ST,OSM - (OSMR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
474,Proli_TRM,Epithelial cells,OSM,OSMR_IL6ST,0.001170691,0,OSM_OSMR_IL6ST,OSM - (OSMR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
475,TAM,Epithelial cells,OSM,OSMR_IL6ST,0.000949848,0,OSM_OSMR_IL6ST,OSM - (OSMR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
476,Unknown,Epithelial cells,OSM,OSMR_IL6ST,0.000590027,0,OSM_OSMR_IL6ST,OSM - (OSMR+IL6ST),OSM,Secreted Signaling,KEGG: hsa04060
477,Profi_TAM,Profi_TAM,IL10,IL10RA_IL10RB,0.000461958,0,IL10_IL10RA_IL10RB,IL10 - (IL10RA+IL10RB),IL10,Secreted Signaling,KEGG: hsa04060
478,Profi_TAM,Proli_TRM,IL10,IL10RA_IL10RB,0.000360346,0,IL10_IL10RA_IL10RB,IL10 - (IL10RA+IL10RB),IL10,Secreted Signaling,KEGG: hsa04060
479,Profi_TAM,TAM,IL10,IL10RA_IL10RB,0.000492358,0,IL10_IL10RA_IL10RB,IL10 - (IL10RA+IL10RB),IL10,Secreted Signaling,KEGG: hsa04060
480,Profi_TAM,Unknown,IL10,IL10RA_IL10RB,0.000607532,0,IL10_IL10RA_IL10RB,IL10 - (IL10RA+IL10RB),IL10,Secreted Signaling,KEGG: hsa04060
481,MAST cells,DC,CSF1,CSF1R,0.001803279,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
482,MAST cells,Monocytes,CSF1,CSF1R,0.002070006,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
483,MAST cells,Profi_TAM,CSF1,CSF1R,0.004926338,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
484,MAST cells,Proli_TRM,CSF1,CSF1R,0.003724812,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
485,MAST cells,TAM,CSF1,CSF1R,0.005172851,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
486,MAST cells,TRAM,CSF1,CSF1R,0.000982373,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
487,MAST cells,Unknown,CSF1,CSF1R,0.004097428,0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
488,DC,DC,IL16,CD4,0.001531337,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
489,DC,Monocytes,IL16,CD4,0.000700447,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
490,DC,Profi_TAM,IL16,CD4,0.002427199,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
491,DC,Proli_TRM,IL16,CD4,0.001741819,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
492,DC,TAM,IL16,CD4,0.001726214,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
493,DC,TRAM,IL16,CD4,0.000622107,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
494,DC,Unknown,IL16,CD4,0.001992082,0,IL16_CD4,IL16 - CD4,IL16,Secreted Signaling,KEGG: hsa04060
495,NK cells,DC,IFNG,IFNGR1_IFNGR2,0.004011033,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
496,NK cells,Endothelial cells,IFNG,IFNGR1_IFNGR2,0.0019234,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
497,NK cells,Fibroblasts,IFNG,IFNGR1_IFNGR2,0.002084188,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
498,NK cells,Monocytes,IFNG,IFNGR1_IFNGR2,0.003482245,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
499,NK cells,Profi_TAM,IFNG,IFNGR1_IFNGR2,0.006260061,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
500,NK cells,Proli_TRM,IFNG,IFNGR1_IFNGR2,0.006639927,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
501,NK cells,TAM,IFNG,IFNGR1_IFNGR2,0.007334335,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
502,NK cells,TRAM,IFNG,IFNGR1_IFNGR2,0.003501605,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
503,NK cells,Unknown,IFNG,IFNGR1_IFNGR2,0.005932785,0,IFNG_IFNGR1_IFNGR2,IFNG - (IFNGR1+IFNGR2),IFN-II,Secreted Signaling,KEGG: hsa04060
504,Proli_TRM,DC,TNF,TNFRSF1A,0.000766927,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
505,TAM,DC,TNF,TNFRSF1A,0.000832599,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
506,Unknown,DC,TNF,TNFRSF1A,0.000858218,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
507,Proli_TRM,Endothelial cells,TNF,TNFRSF1A,0.001386922,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
508,TAM,Endothelial cells,TNF,TNFRSF1A,0.001505604,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
509,Unknown,Endothelial cells,TNF,TNFRSF1A,0.0015519,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
510,Proli_TRM,Epithelial cells,TNF,TNFRSF1A,0.000905419,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
511,TAM,Epithelial cells,TNF,TNFRSF1A,0.000982938,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
512,Unknown,Epithelial cells,TNF,TNFRSF1A,0.001013179,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
513,Proli_TRM,Fibroblasts,TNF,TNFRSF1A,0.002885719,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
514,TAM,Fibroblasts,TNF,TNFRSF1A,0.003132255,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
515,Unknown,Fibroblasts,TNF,TNFRSF1A,0.003228407,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
516,Proli_TRM,Profi_TAM,TNF,TNFRSF1A,0.002113442,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
517,TAM,Profi_TAM,TNF,TNFRSF1A,0.002294151,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
518,Unknown,Profi_TAM,TNF,TNFRSF1A,0.002364637,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
519,Proli_TRM,Proli_TRM,TNF,TNFRSF1A,0.001752572,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
520,TAM,Proli_TRM,TNF,TNFRSF1A,0.001902485,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
521,Unknown,Proli_TRM,TNF,TNFRSF1A,0.00196096,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
522,Proli_TRM,TAM,TNF,TNFRSF1A,0.001018069,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
523,TAM,TAM,TNF,TNFRSF1A,0.001105222,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
524,Unknown,TAM,TNF,TNFRSF1A,0.001139221,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
525,Proli_TRM,TRAM,TNF,TNFRSF1A,0.000878503,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
526,TAM,TRAM,TNF,TNFRSF1A,0.00095372,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
527,Unknown,TRAM,TNF,TNFRSF1A,0.000983063,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
528,Proli_TRM,Unknown,TNF,TNFRSF1A,0.000872464,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
529,TAM,Unknown,TNF,TNFRSF1A,0.000947165,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
530,Unknown,Unknown,TNF,TNFRSF1A,0.000976306,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
531,Proli_TRM,DC,TNF,TNFRSF1B,0.001058343,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
532,TAM,DC,TNF,TNFRSF1B,0.00114894,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
533,Unknown,DC,TNF,TNFRSF1B,0.001184282,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
534,Proli_TRM,Monocytes,TNF,TNFRSF1B,0.001735118,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
535,TAM,Monocytes,TNF,TNFRSF1B,0.00188354,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
536,Unknown,Monocytes,TNF,TNFRSF1B,0.001941434,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
537,Proli_TRM,NK cells,TNF,TNFRSF1B,0.001632147,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
538,TAM,NK cells,TNF,TNFRSF1B,0.001771776,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
539,Unknown,NK cells,TNF,TNFRSF1B,0.001826241,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
540,Proli_TRM,Profi_TAM,TNF,TNFRSF1B,0.000769825,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
541,TAM,Profi_TAM,TNF,TNFRSF1B,0.000835745,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
542,Unknown,Profi_TAM,TNF,TNFRSF1B,0.000861461,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
543,Proli_TRM,Proli_TRM,TNF,TNFRSF1B,0.00067721,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
544,TAM,Proli_TRM,TNF,TNFRSF1B,0.000735205,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
545,Unknown,Proli_TRM,TNF,TNFRSF1B,0.00075783,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
546,Proli_TRM,T cells,TNF,TNFRSF1B,0.001356908,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
547,TAM,T cells,TNF,TNFRSF1B,0.001473026,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
548,Unknown,T cells,TNF,TNFRSF1B,0.001518321,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
549,Proli_TRM,TAM,TNF,TNFRSF1B,0.000990627,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
550,TAM,TAM,TNF,TNFRSF1B,0.001075434,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
551,Unknown,TAM,TNF,TNFRSF1B,0.001108517,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
552,Proli_TRM,Unknown,TNF,TNFRSF1B,0.002335393,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
553,TAM,Unknown,TNF,TNFRSF1B,0.002535032,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
554,Unknown,Unknown,TNF,TNFRSF1B,0.002612899,0,TNF_TNFRSF1B,TNF - TNFRSF1B,TNF,Secreted Signaling,KEGG: hsa04060
555,Endothelial cells,Epithelial cells,TNFSF10,TNFRSF10B,0.00554166,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
556,Epithelial cells,Epithelial cells,TNFSF10,TNFRSF10B,0.000646111,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
557,Fibroblasts,Epithelial cells,TNFSF10,TNFRSF10B,0.000355715,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
558,MAST cells,Epithelial cells,TNFSF10,TNFRSF10B,0.001525569,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
559,Profi_TAM,Epithelial cells,TNFSF10,TNFRSF10B,0.000291722,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
560,Proli_TRM,Epithelial cells,TNFSF10,TNFRSF10B,0.00044168,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
561,TAM,Epithelial cells,TNFSF10,TNFRSF10B,0.000461612,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
562,Unknown,Epithelial cells,TNFSF10,TNFRSF10B,0.000543902,0,TNFSF10_TNFRSF10B,TNFSF10 - TNFRSF10B,TRAIL,Secreted Signaling,KEGG: hsa04060; PMID: 18813321
563,DC,Epithelial cells,TNFSF12,TNFRSF12A,0.004096748,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
564,Fibroblasts,Epithelial cells,TNFSF12,TNFRSF12A,0.003442879,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
565,Profi_TAM,Epithelial cells,TNFSF12,TNFRSF12A,0.005226609,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
566,Proli_TRM,Epithelial cells,TNFSF12,TNFRSF12A,0.003869729,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
567,TAM,Epithelial cells,TNFSF12,TNFRSF12A,0.004896608,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
568,TRAM,Epithelial cells,TNFSF12,TNFRSF12A,0.010745593,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
569,Unknown,Epithelial cells,TNFSF12,TNFRSF12A,0.008251332,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
570,DC,Fibroblasts,TNFSF12,TNFRSF12A,0.001124066,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
571,Fibroblasts,Fibroblasts,TNFSF12,TNFRSF12A,0.000944207,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
572,Profi_TAM,Fibroblasts,TNFSF12,TNFRSF12A,0.001435259,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060
