,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UBC,1.45E-46,0.299581097,0.998,0.921,3.77E-42
MLH1,8.36E-36,0.2995066,0.282,0.126,2.17E-31
MGMT,2.54E-48,0.299081333,0.773,0.424,6.58E-44
ALDOA,5.31E-63,0.298893292,1,0.938,1.38E-58
MED25,7.70E-44,0.298609406,0.338,0.148,2.00E-39
GRPEL1,2.32E-55,0.29852739,0.573,0.272,6.01E-51
COPZ1,5.28E-45,0.298105892,0.821,0.488,1.37E-40
VKORC1L1,6.38E-37,0.297961415,0.342,0.16,1.65E-32
SH3BGRL,3.18E-46,0.297936658,0.999,0.874,8.26E-42
PHB,1.19E-43,0.297783619,0.89,0.549,3.08E-39
COPS8,2.08E-49,0.297701006,0.502,0.239,5.40E-45
LAPTM4A,5.32E-46,0.297112333,0.982,0.76,1.38E-41
AAMDC,6.95E-54,0.296572249,0.514,0.241,1.80E-49
AVPI1,6.65E-47,0.296156832,0.877,0.517,1.73E-42
ATP6V1D,3.63E-46,0.295984354,0.876,0.529,9.42E-42
ANAPC7,6.50E-32,0.295527804,0.291,0.137,1.69E-27
BAG4,8.62E-42,0.29551029,0.37,0.169,2.24E-37
MED8,4.00E-48,0.295218205,0.515,0.248,1.04E-43
TRIQK,9.57E-45,0.294883014,0.455,0.218,2.48E-40
RP11-598F7.3,9.75E-68,0.294819461,0.906,0.488,2.53E-63
DEGS1,6.61E-48,0.294545474,0.673,0.361,1.71E-43
PPCS,2.04E-42,0.294328053,0.924,0.588,5.31E-38
RPA2,4.33E-56,0.294005895,0.474,0.211,1.12E-51
PTPRO,1.66E-51,0.293940406,0.484,0.222,4.31E-47
B2M,1.43E-76,0.293940337,1,1,3.72E-72
IDH3G,2.34E-47,0.293767787,0.848,0.484,6.07E-43
GCC2,9.77E-51,0.293512905,0.715,0.374,2.53E-46
ACOT9,2.45E-52,0.293422387,0.55,0.265,6.35E-48
APOC1,2.49E-51,0.293231532,1,0.944,6.46E-47
TRAPPC2P1,3.53E-46,0.293111796,0.345,0.15,9.16E-42
RNF146,1.37E-52,0.293036607,0.502,0.231,3.56E-48
S100A13,7.74E-39,0.292745747,0.925,0.604,2.01E-34
ATRAID,4.58E-40,0.292685491,0.956,0.657,1.19E-35
UBXN11,9.93E-51,0.292561668,0.581,0.282,2.58E-46
DOK3,1.15E-51,0.292421425,0.628,0.309,2.98E-47
RAB11A,3.04E-45,0.291992392,0.897,0.549,7.90E-41
LAMTOR1,4.88E-40,0.291706952,0.999,0.844,1.26E-35
CCDC174,1.11E-43,0.290954195,0.349,0.156,2.88E-39
QDPR,2.53E-47,0.290843261,0.656,0.339,6.57E-43
COMMD3,1.60E-51,0.290583022,0.726,0.381,4.14E-47
JAGN1,4.85E-51,0.29053186,0.613,0.3,1.26E-46
SMC2,1.88E-43,0.290444997,0.33,0.144,4.89E-39
ERICH1,3.32E-53,0.290059363,0.663,0.331,8.60E-49
ZNHIT3,4.14E-51,0.289593599,0.645,0.327,1.07E-46
C2orf47,1.40E-39,0.289494583,0.336,0.152,3.62E-35
PDCD10,2.78E-50,0.289064631,0.831,0.47,7.21E-46
DPM3,1.00E-48,0.28898918,0.608,0.307,2.59E-44
MRPS5,1.13E-50,0.288421491,0.621,0.314,2.94E-46
RSBN1,6.58E-44,0.288421253,0.395,0.181,1.71E-39
AP1S1,1.62E-48,0.288273002,0.625,0.318,4.20E-44
FKBP15,8.61E-44,0.288141866,0.795,0.453,2.23E-39
COPS4,1.14E-52,0.287811817,0.462,0.209,2.96E-48
ABHD3,9.25E-50,0.287716108,0.471,0.218,2.40E-45
SLC37A1,5.12E-32,0.287688818,0.269,0.123,1.33E-27
HSDL2,3.61E-47,0.287601089,0.422,0.193,9.37E-43
NAGLU,8.41E-40,0.287127529,0.453,0.223,2.18E-35
AKR1B1,2.44E-45,0.28625119,0.92,0.597,6.33E-41
IDH3B,1.12E-51,0.286222441,0.641,0.322,2.89E-47
HCCS,1.17E-50,0.286216758,0.468,0.214,3.04E-46
GLA,6.42E-54,0.286123939,0.659,0.339,1.67E-49
MRPL40,5.17E-48,0.285837254,0.769,0.423,1.34E-43
SMARCE1,9.05E-48,0.285571913,0.522,0.254,2.35E-43
MRPS9,4.19E-36,0.285301729,0.254,0.109,1.09E-31
CCNDBP1,6.98E-53,0.285067746,0.642,0.321,1.81E-48
TAX1BP1,2.08E-36,0.284894195,0.971,0.7,5.39E-32
CSRP1,2.63E-49,0.284736864,0.736,0.394,6.82E-45
RPP25,3.46E-41,0.284730177,0.325,0.145,8.98E-37
AIMP1,7.55E-51,0.284652064,0.776,0.424,1.96E-46
HSPA4,2.21E-55,0.284349605,0.587,0.279,5.72E-51
FUOM,2.85E-40,0.284336383,0.956,0.656,7.40E-36
DCUN1D5,7.53E-46,0.28411944,0.508,0.245,1.95E-41
COQ9,5.21E-33,0.284038804,0.296,0.139,1.35E-28
NDUFS5,4.62E-46,0.283965666,0.999,0.883,1.20E-41
ZDHHC24,1.33E-45,0.283882897,0.677,0.35,3.45E-41
UTP11L,4.76E-49,0.283781047,0.435,0.198,1.23E-44
PRDX2,1.47E-30,0.283459198,0.422,0.234,3.82E-26
MYO1G,1.15E-46,0.282750168,0.724,0.391,2.98E-42
TKT,5.11E-45,0.282599152,0.997,0.793,1.33E-40
LYPLAL1,1.83E-57,0.28236151,0.665,0.326,4.74E-53
AKIRIN2,1.32E-44,0.282182053,0.844,0.501,3.42E-40
APMAP,1.01E-46,0.281850517,0.723,0.391,2.61E-42
ZMYND15,4.66E-39,0.281814805,0.378,0.177,1.21E-34
SART1,4.69E-51,0.28174071,0.425,0.188,1.22E-46
MRTO4,8.02E-54,0.281626926,0.446,0.196,2.08E-49
HAUS2,8.75E-44,0.281565543,0.478,0.235,2.27E-39
HSPBP1,6.35E-42,0.281510938,0.344,0.154,1.65E-37
DAPP1,1.41E-47,0.281413625,0.438,0.202,3.67E-43
DHRS7B,2.50E-32,0.281380313,0.317,0.153,6.49E-28
COA4,8.21E-42,0.28130609,0.794,0.46,2.13E-37
HSPD1,2.29E-41,0.28126838,0.902,0.583,5.93E-37
MRPL50,9.38E-51,0.281260341,0.571,0.277,2.43E-46
GYPC,5.14E-39,0.281166259,0.988,0.721,1.33E-34
NDUFB4,6.28E-42,0.281108565,0.979,0.739,1.63E-37
DNTTIP1,5.96E-49,0.280574146,0.475,0.222,1.55E-44
CEP63,7.30E-40,0.280203369,0.422,0.206,1.89E-35
PAF1,3.61E-41,0.280084686,0.359,0.164,9.37E-37
TEX264,1.93E-43,0.279264621,0.762,0.429,5.01E-39
CASP7,7.30E-41,0.279107639,0.401,0.19,1.89E-36
NAA15,3.87E-47,0.279100399,0.387,0.172,1.00E-42
DESI1,6.65E-47,0.279051012,0.729,0.394,1.73E-42
HADHA,8.52E-38,0.278878569,0.858,0.525,2.21E-33
GAPLINC,1.27E-51,0.278733097,0.499,0.234,3.29E-47
PARP10,1.86E-48,0.278567012,0.425,0.192,4.82E-44
ABHD14B,2.23E-42,0.278521983,0.674,0.367,5.79E-38
SELM,4.47E-57,0.278445711,0.59,0.282,1.16E-52
HEXA,6.93E-41,0.278337057,0.946,0.656,1.80E-36
SEPN1,1.94E-51,0.278206369,0.608,0.3,5.02E-47
TXNDC15,2.65E-52,0.278094517,0.477,0.216,6.88E-48
USP11,1.02E-37,0.277576076,0.282,0.124,2.65E-33
SKIV2L2,7.77E-43,0.277432259,0.294,0.123,2.02E-38
SIL1,4.90E-51,0.277431552,0.58,0.283,1.27E-46
SPCS2,1.02E-42,0.277002171,0.956,0.677,2.66E-38
SLC25A46,2.72E-48,0.276951886,0.543,0.26,7.04E-44
KLHL9,1.81E-36,0.27689216,0.26,0.111,4.70E-32
SEC13,3.56E-50,0.276708614,0.672,0.342,9.23E-46
IFI35,1.09E-56,0.276592882,0.834,0.451,2.83E-52
NDUFV2,6.23E-40,0.276544518,0.988,0.737,1.62E-35
NSL1,6.04E-65,0.276544467,0.552,0.242,1.57E-60
BID,6.40E-41,0.276423889,0.889,0.551,1.66E-36
CALM1,1.39E-50,0.276184182,1,0.936,3.61E-46
RARA-AS1,8.96E-39,0.27604804,0.441,0.218,2.32E-34
DERL2,3.46E-54,0.275907018,0.632,0.31,8.98E-50
UBXN4,7.93E-36,0.275636574,0.874,0.577,2.06E-31
SDCBP,2.75E-47,0.275464035,1,0.924,7.13E-43
TUFM,2.09E-41,0.274741164,0.912,0.581,5.41E-37
SDHA,1.65E-47,0.274721205,0.473,0.22,4.29E-43
HSPB1,5.20E-44,0.274631563,0.995,0.856,1.35E-39
MAP4,1.58E-46,0.274237234,0.604,0.306,4.11E-42
NOM1,2.41E-38,0.274054482,0.31,0.138,6.24E-34
ATP5G3,2.10E-39,0.273745833,1,0.881,5.44E-35
MRPS10,2.83E-49,0.273635134,0.552,0.27,7.35E-45
AK6,4.62E-54,0.273583358,0.64,0.317,1.20E-49
FDX1,1.09E-34,0.273236325,0.904,0.612,2.81E-30
PSMC3,3.03E-46,0.27228952,0.783,0.438,7.87E-42
GOSR1,1.18E-45,0.272211182,0.403,0.184,3.05E-41
NDUFS1,3.23E-45,0.272028791,0.382,0.171,8.37E-41
TAX1BP3,1.65E-43,0.272007381,0.799,0.458,4.28E-39
EIF2S2,1.46E-36,0.27190668,0.961,0.684,3.78E-32
VPS28,2.49E-38,0.271797727,0.971,0.706,6.46E-34
IDH3A,1.60E-35,0.271579425,0.289,0.13,4.15E-31
CISH,1.79E-40,0.271488956,0.347,0.159,4.64E-36
LILRA5,3.44E-43,0.270703891,0.31,0.133,8.92E-39
ZCCHC17,5.07E-49,0.270302391,0.623,0.315,1.31E-44
SRD5A3,5.88E-47,0.270237282,0.671,0.347,1.53E-42
SLC2A6,1.82E-42,0.270170192,0.404,0.189,4.72E-38
ERLEC1,2.16E-45,0.270122401,0.759,0.405,5.61E-41
NCK1,1.08E-47,0.269913332,0.583,0.288,2.80E-43
DDX24,1.55E-41,0.269720326,0.889,0.538,4.01E-37
SNX17,5.64E-37,0.269598668,0.85,0.529,1.46E-32
TCIRG1,1.26E-42,0.269573778,0.88,0.523,3.27E-38
POLR2G,1.74E-47,0.269293165,0.739,0.41,4.51E-43
FXN,1.21E-39,0.269159959,0.351,0.161,3.14E-35
TBC1D2,1.39E-39,0.268991939,0.48,0.242,3.59E-35
SPNS1,5.19E-41,0.268195922,0.79,0.456,1.35E-36
CWC27,4.24E-45,0.268169792,0.452,0.215,1.10E-40
DDOST,8.27E-46,0.268132444,0.683,0.364,2.15E-41
SEC62,1.02E-38,0.267920124,0.975,0.708,2.64E-34
PYROXD1,4.89E-44,0.267815533,0.371,0.166,1.27E-39
MOSPD1,1.16E-37,0.267774305,0.308,0.139,3.01E-33
FERMT3,2.77E-41,0.267697531,0.885,0.55,7.18E-37
RAN,5.08E-42,0.267589018,0.992,0.795,1.32E-37
MAPKAPK5-AS1,3.97E-41,0.267384335,0.486,0.243,1.03E-36
DDB2,2.19E-44,0.267382497,0.388,0.176,5.69E-40
SNW1,9.37E-48,0.267176842,0.653,0.335,2.43E-43
SIDT2,7.30E-44,0.266997412,0.617,0.322,1.89E-39
MRPL43,2.36E-41,0.26618324,0.792,0.458,6.13E-37
CKS1B,3.51E-63,0.265991571,0.775,0.395,9.11E-59
ESD,1.61E-41,0.265758424,0.9,0.574,4.18E-37
COMMD5,5.59E-47,0.265752829,0.688,0.358,1.45E-42
CCT4,2.96E-43,0.264838251,0.863,0.506,7.67E-39
WARS,1.97E-52,0.264554982,0.819,0.457,5.10E-48
CAPZA2,5.03E-39,0.264388721,0.981,0.758,1.30E-34
CLTA,7.95E-41,0.26435134,0.996,0.84,2.06E-36
BTBD10,1.39E-35,0.264322192,0.251,0.108,3.61E-31
PSMF1,1.23E-41,0.264253941,0.816,0.476,3.19E-37
TOMM40,9.03E-45,0.264087385,0.68,0.363,2.34E-40
SYS1,8.86E-40,0.26400491,0.71,0.39,2.30E-35
MANF,1.71E-54,0.263973643,0.784,0.422,4.42E-50
SNAPC2,4.82E-42,0.263860704,0.483,0.238,1.25E-37
HUS1,8.56E-44,0.263765216,0.419,0.195,2.22E-39
CD46,3.34E-44,0.263520798,0.826,0.479,8.68E-40
AIG1,4.73E-53,0.263206403,0.49,0.225,1.23E-48
RUVBL1,1.75E-38,0.262893412,0.288,0.125,4.55E-34
MCTS1,3.37E-49,0.262506252,0.853,0.486,8.73E-45
ACO2,4.47E-44,0.262431904,0.636,0.331,1.16E-39
RHOB,3.73E-40,0.26213734,0.965,0.696,9.68E-36
ILF2,9.13E-50,0.262032571,0.761,0.406,2.37E-45
ARL4A,2.87E-41,0.261807421,0.927,0.623,7.44E-37
C1orf27,3.50E-36,0.26179014,0.277,0.122,9.09E-32
SP110,2.12E-47,0.261314405,0.511,0.246,5.49E-43
PSMC1,9.72E-48,0.261306684,0.857,0.502,2.52E-43
DYNLRB1,1.71E-36,0.26108483,0.99,0.788,4.43E-32
CYSLTR1,4.85E-42,0.260620875,0.47,0.23,1.26E-37
TSNAX,1.01E-45,0.260537334,0.6,0.308,2.62E-41
TCEAL3,3.88E-47,0.26043461,0.609,0.313,1.01E-42
SDR39U1,4.76E-44,0.260317335,0.35,0.154,1.24E-39
FAIM,1.80E-36,0.260165982,0.307,0.141,4.67E-32
CCS,1.91E-51,0.260045339,0.512,0.238,4.95E-47
NAGK,5.02E-55,0.260037554,0.863,0.493,1.30E-50
HVCN1,3.65E-40,0.260025985,0.665,0.361,9.47E-36
SH3BP5,1.33E-42,0.259646703,0.796,0.457,3.44E-38
NELFE,8.89E-49,0.259622548,0.748,0.399,2.31E-44
SLC7A7,5.72E-32,0.259545535,0.986,0.764,1.48E-27
ATP5F1,2.04E-35,0.259443197,0.97,0.725,5.29E-31
IFT22,3.18E-34,0.259157811,0.274,0.123,8.24E-30
EMC4,1.33E-41,0.259121595,0.789,0.449,3.45E-37
PUM3,4.89E-37,0.258859322,0.266,0.115,1.27E-32
IL12RB1,1.88E-31,0.258771341,0.3,0.144,4.87E-27
LPXN,9.31E-38,0.258454496,0.902,0.575,2.41E-33
MLX,2.07E-48,0.25826756,0.707,0.362,5.36E-44
C2orf74,1.56E-37,0.25796082,0.52,0.27,4.03E-33
HIPK2,1.21E-45,0.257953106,0.629,0.327,3.15E-41
UFD1L,1.10E-41,0.257888186,0.792,0.456,2.84E-37
PPHLN1,2.68E-53,0.257872287,0.651,0.319,6.96E-49
RBMX2,8.34E-44,0.257824672,0.535,0.268,2.16E-39
SCAMP3,1.35E-46,0.257680922,0.527,0.252,3.51E-42
MPC1,9.78E-36,0.257566574,0.935,0.62,2.54E-31
PRDX5,2.50E-35,0.257526675,0.993,0.794,6.48E-31
ATP5J2,9.07E-39,0.257381658,0.995,0.838,2.35E-34
LSP1,2.67E-41,0.257333179,0.902,0.617,6.92E-37
DAD1,1.27E-36,0.257150412,0.956,0.697,3.29E-32
IFI27L1,1.60E-37,0.257102207,0.341,0.159,4.16E-33
VDAC2,1.31E-31,0.257017129,0.983,0.738,3.40E-27
PET117,1.46E-32,0.256993669,0.258,0.116,3.78E-28
UBE2E2,7.04E-39,0.256713613,0.814,0.476,1.83E-34
FAM174A,1.21E-47,0.256569224,0.432,0.195,3.14E-43
PSMC5,6.18E-43,0.256201992,0.882,0.542,1.60E-38
LINC00116,3.91E-49,0.25606744,0.751,0.405,1.01E-44
ALPK1,5.01E-32,0.255745652,0.254,0.114,1.30E-27
COMMD9,1.46E-39,0.255461841,0.78,0.451,3.79E-35
MOSPD3,6.29E-47,0.255437297,0.562,0.275,1.63E-42
SLC19A1,1.94E-33,0.255247599,0.283,0.128,5.04E-29
MRPL14,2.56E-38,0.25521817,0.923,0.588,6.64E-34
SPATS2L,1.78E-43,0.255190425,0.878,0.524,4.62E-39
RAB7A,6.19E-33,0.254881522,0.99,0.802,1.60E-28
MRPL27,3.56E-43,0.254724361,0.831,0.48,9.24E-39
MX1,1.33E-50,0.254664911,0.711,0.391,3.44E-46
IMP3,2.41E-48,0.254491922,0.733,0.394,6.24E-44
PSMB4,3.63E-44,0.254472367,0.819,0.474,9.41E-40
LARP4,1.08E-36,0.254376768,0.393,0.192,2.80E-32
COX15,3.14E-35,0.254010936,0.304,0.139,8.15E-31
PPCDC,3.05E-35,0.253853975,0.291,0.131,7.91E-31
MAP4K5,4.33E-40,0.253680503,0.343,0.154,1.12E-35
RNPEP,9.63E-41,0.253439223,0.803,0.47,2.50E-36
MTX2,3.09E-46,0.253416309,0.515,0.247,8.02E-42
NDUFA4,8.26E-48,0.253294872,1,0.933,2.14E-43
MRPL47,3.05E-52,0.253127871,0.708,0.368,7.90E-48
SNX10,2.58E-34,0.252846897,0.995,0.819,6.70E-30
RAB2A,8.00E-35,0.252807171,0.914,0.596,2.08E-30
MRPL15,3.97E-50,0.252681639,0.588,0.286,1.03E-45
SERPINB6,5.00E-39,0.252623525,0.915,0.589,1.30E-34
TRIM14,1.89E-42,0.252477091,0.591,0.31,4.91E-38
SLC38A10,1.40E-44,0.252293231,0.589,0.297,3.63E-40
AP5B1,5.36E-39,0.252139834,0.413,0.2,1.39E-34
SERINC2,1.08E-38,0.251294687,0.568,0.301,2.79E-34
NTPCR,3.73E-46,0.251241134,0.558,0.276,9.68E-42
YWHAQ,2.82E-34,0.251063965,0.928,0.615,7.33E-30
BORCS8,6.11E-45,0.250682833,0.492,0.236,1.59E-40
ANAPC15,1.42E-42,0.250545448,0.789,0.442,3.67E-38
RRP36,1.96E-38,0.250328984,0.291,0.126,5.09E-34
TCEAL8,1.58E-41,0.250204124,0.798,0.466,4.11E-37
IRF8,2.80E-10,-0.250175744,0.725,0.479,7.27E-06
NTAN1,5.88E-09,-0.250248729,0.667,0.43,0.000152521
SLK,3.02E-13,-0.250534106,0.295,0.172,7.83E-09
TICAM1,1.70E-15,-0.25058178,0.256,0.141,4.40E-11
VOPP1,3.02E-09,-0.250640294,0.724,0.468,7.84E-05
RPL8,2.88E-36,-0.250727845,1,0.991,7.47E-32
MGAT1,0.74565752,-0.251222815,0.933,0.724,1
RCC2,1.50E-15,-0.251985957,0.469,0.275,3.88E-11
PRRC2C,0.01753358,-0.252039647,0.837,0.605,1
NMD3,5.41E-14,-0.252144272,0.281,0.162,1.40E-09
ZNF688,2.80E-11,-0.252369867,0.317,0.195,7.25E-07
PTGES2,6.88E-13,-0.252384671,0.353,0.214,1.78E-08
FGFR1OP2,1.42E-08,-0.252560733,0.644,0.416,0.000367425
CEP170,5.32E-16,-0.252922031,0.489,0.288,1.38E-11
GATAD1,1.31E-10,-0.252941252,0.337,0.211,3.40E-06
TBK1,3.40E-14,-0.253008915,0.253,0.142,8.82E-10
GLTSCR2,0.021379111,-0.25317325,0.986,0.819,1
RPL27,2.89E-33,-0.253490703,1,0.988,7.49E-29
ZBTB44,5.23E-13,-0.253893032,0.281,0.165,1.36E-08
PTDSS1,1.09E-10,-0.253954913,0.395,0.249,2.83E-06
RPL11,1.06E-38,-0.254055755,1,0.996,2.76E-34
RPL28,1.15E-48,-0.254217393,1,0.998,2.99E-44
EVI2A,5.93E-11,-0.254280394,0.741,0.484,1.54E-06
GPAT4,7.57E-16,-0.254284425,0.282,0.157,1.96E-11
MAN2A1,1.38E-12,-0.254720054,0.328,0.197,3.58E-08
KLF13,1.96E-12,-0.254860962,0.285,0.17,5.08E-08
CCSER2,5.23E-12,-0.255447235,0.357,0.219,1.36E-07
LTB,3.00E-31,-0.255970314,0.383,0.192,7.78E-27
HMGN1,0.076404396,-0.256203007,0.974,0.799,1
ZNF580,2.09E-12,-0.25630806,0.284,0.169,5.43E-08
MT2A,4.66E-28,-0.256333948,0.903,0.627,1.21E-23
RCOR1,8.49E-15,-0.256449251,0.312,0.18,2.20E-10
RBM33,1.52E-12,-0.25646339,0.296,0.177,3.95E-08
CCDC167,8.21E-14,-0.256484402,0.404,0.242,2.13E-09
PRKAR1A,5.21E-06,-0.256663707,0.768,0.514,0.135156108
CORO7,2.81E-13,-0.256886673,0.343,0.206,7.28E-09
RBPJ,0.005033615,-0.256964353,0.924,0.691,1
RPSA,3.24E-14,-0.257277105,1,0.964,8.39E-10
NUMA1,2.78E-13,-0.257300716,0.333,0.198,7.20E-09
ERBB2IP,5.88E-13,-0.257626012,0.418,0.256,1.53E-08
RAB31,0.386121649,-0.258143463,0.948,0.752,1
RPL3,1.68E-27,-0.258634437,1,0.986,4.35E-23
PBRM1,1.58E-12,-0.259039578,0.494,0.304,4.10E-08
SNHG8,0.003626835,-0.259185023,0.825,0.581,1
EPSTI1,7.51E-15,-0.259254704,0.684,0.431,1.95E-10
RILPL2,1.62E-07,-0.259790541,0.77,0.522,0.004202546
GNB2L1,1.39E-23,-0.259810876,1,0.972,3.62E-19
EIF2AK4,5.71E-14,-0.260887527,0.417,0.25,1.48E-09
XIAP,1.48E-09,-0.261507116,0.507,0.328,3.83E-05
OPA1,3.86E-12,-0.261929551,0.262,0.155,1.00E-07
PTK2B,2.08E-13,-0.261931661,0.445,0.269,5.41E-09
PACSIN2,3.32E-15,-0.261977281,0.311,0.178,8.61E-11
FUS,0.001080639,-0.262428796,0.858,0.626,1
RPL10A,1.11E-25,-0.262485766,1,0.978,2.87E-21
NFE2L2,0.003943861,-0.262749673,0.861,0.628,1
ARL8A,1.19E-10,-0.262781657,0.554,0.35,3.09E-06
CLN6,2.50E-11,-0.262893705,0.375,0.231,6.49E-07
ASXL2,5.79E-12,-0.263119507,0.255,0.15,1.50E-07
RPL19,7.87E-49,-0.263131842,1,0.995,2.04E-44
CASC4,1.58E-12,-0.263350336,0.407,0.248,4.09E-08
LINC00969,8.65E-13,-0.263489692,0.45,0.277,2.24E-08
GOLPH3,7.62E-12,-0.263592534,0.434,0.267,1.98E-07
U2AF2,5.80E-15,-0.263855931,0.303,0.172,1.50E-10
TMEM189,2.10E-14,-0.264182617,0.316,0.183,5.43E-10
AP3S1,0.023267966,-0.264347198,0.831,0.599,1
NUMB,7.43E-14,-0.26456661,0.557,0.342,1.93E-09
ASGR1,2.04E-10,-0.264681037,0.397,0.257,5.28E-06
UBE2Q2,1.49E-14,-0.264839265,0.423,0.252,3.88E-10
CDK4,5.13E-12,-0.264892456,0.464,0.286,1.33E-07
MESDC1,3.94E-16,-0.264916303,0.386,0.224,1.02E-11
TRAK1,2.36E-16,-0.264959244,0.26,0.142,6.12E-12
ZFAND5,0.737452909,-0.265079858,0.959,0.75,1
AIM1,6.38E-09,-0.265096575,0.3,0.192,0.000165489
TIMP2,0.636765279,-0.26525831,0.927,0.699,1
TP53TG1,4.23E-12,-0.265934662,0.385,0.236,1.10E-07
VPS26B,1.43E-11,-0.267273196,0.343,0.21,3.72E-07
SCYL2,3.19E-13,-0.267764476,0.348,0.207,8.27E-09
ESRRA,3.08E-10,-0.267834381,0.311,0.193,7.98E-06
WIPI2,9.41E-11,-0.267894906,0.532,0.335,2.44E-06
IFI44L,3.10E-26,-0.268012609,0.45,0.247,8.05E-22
TBC1D22A,8.82E-14,-0.268071656,0.327,0.192,2.29E-09
IKBIP,1.29E-18,-0.268640459,0.319,0.175,3.34E-14
DNAJB6,0.102144087,-0.268955081,0.91,0.681,1
UROS,1.22E-10,-0.270110359,0.542,0.344,3.16E-06
PTBP3,5.83E-08,-0.270148705,0.672,0.442,0.001512549
NUP58,1.07E-15,-0.270693309,0.387,0.226,2.77E-11
ABR,1.33E-11,-0.271442176,0.429,0.266,3.46E-07
YME1L1,0.000446451,-0.271546465,0.784,0.552,1
MARVELD1,2.09E-11,-0.271673929,0.282,0.171,5.43E-07
DENND1B,2.75E-15,-0.272665196,0.356,0.206,7.15E-11
UBXN6,7.78E-12,-0.272691126,0.544,0.338,2.02E-07
DAPK1,1.50E-09,-0.273175577,0.553,0.357,3.90E-05
SCAMP1,1.25E-13,-0.273536898,0.269,0.156,3.23E-09
ALKBH7,0.117159869,-0.273609777,0.812,0.602,1
RABEP1,2.04E-11,-0.273764158,0.383,0.238,5.29E-07
TTL,5.85E-13,-0.273842618,0.278,0.163,1.52E-08
CARHSP1,3.59E-19,-0.27390602,0.427,0.243,9.30E-15
TUBGCP2,1.16E-14,-0.27403736,0.408,0.242,3.02E-10
ZNF581,4.60E-14,-0.274195037,0.347,0.205,1.19E-09
WNK1,7.78E-06,-0.274211074,0.687,0.461,0.201907506
PLEKHA3,3.97E-11,-0.274230882,0.308,0.189,1.03E-06
PRADC1,4.54E-09,-0.274796248,0.296,0.188,0.000117648
DUSP1,0.6094059,-0.274963672,0.999,0.91,1
E2F4,4.48E-12,-0.275218499,0.351,0.213,1.16E-07
MKKS,6.26E-10,-0.275351226,0.547,0.351,1.62E-05
LPP,4.85E-10,-0.275919614,0.6,0.386,1.26E-05
CHMP1A,2.88E-10,-0.276016425,0.379,0.241,7.46E-06
CHD4,2.14E-10,-0.276209444,0.489,0.314,5.56E-06
SERP1,5.21E-11,-0.276224393,0.993,0.886,1.35E-06
IRF1,1.81E-09,-0.276366161,0.701,0.468,4.68E-05
RPS15,3.60E-52,-0.27641085,1,0.995,9.33E-48
KLHDC3,1.75E-08,-0.276658314,0.417,0.27,0.00045493
RHOC,6.40E-13,-0.27680648,0.621,0.395,1.66E-08
NHSL2,1.44E-15,-0.277382595,0.354,0.203,3.72E-11
CLIC2,3.86E-17,-0.277486659,0.307,0.172,1.00E-12
GLUD1,9.49E-12,-0.277848713,0.59,0.371,2.46E-07
RPL23,2.10E-28,-0.27787293,1,0.981,5.46E-24
SAFB,8.40E-12,-0.278088796,0.259,0.154,2.18E-07
R3HDM2,2.09E-14,-0.278189785,0.325,0.189,5.43E-10
FBXL3,8.79E-11,-0.278212498,0.292,0.179,2.28E-06
SGMS1,1.67E-11,-0.278365079,0.308,0.189,4.34E-07
FOXP1,2.93E-11,-0.27848283,0.581,0.362,7.61E-07
ATF1,1.27E-14,-0.27858354,0.289,0.164,3.29E-10
ANKLE2,7.37E-15,-0.278667692,0.292,0.165,1.91E-10
TMEM138,5.23E-14,-0.278957099,0.338,0.198,1.36E-09
HGS,2.25E-15,-0.279084868,0.345,0.199,5.83E-11
ABHD17A,2.91E-13,-0.279137532,0.388,0.23,7.56E-09
YKT6,7.48E-15,-0.279343954,0.368,0.215,1.94E-10
PPP2R5E,2.54E-14,-0.279520866,0.449,0.265,6.59E-10
AGO3,3.26E-12,-0.279780318,0.32,0.193,8.47E-08
MIF,2.22E-14,-0.280023633,0.838,0.551,5.76E-10
NEK7,1.16E-14,-0.280289956,0.3,0.173,3.00E-10
OXSR1,1.43E-16,-0.280412055,0.364,0.208,3.70E-12
SDSL,2.01E-13,-0.280569324,0.568,0.347,5.22E-09
NPLOC4,6.07E-12,-0.280980358,0.264,0.156,1.58E-07
ATM,6.52E-13,-0.281132493,0.436,0.268,1.69E-08
MECP2,4.94E-11,-0.281299566,0.438,0.277,1.28E-06
TIA1,5.44E-13,-0.281525337,0.253,0.146,1.41E-08
DDB1,3.58E-11,-0.281774142,0.447,0.28,9.28E-07
RPS4X,4.93E-33,-0.28180377,1,0.986,1.28E-28
AFTPH,1.32E-12,-0.282192796,0.36,0.218,3.43E-08
PSMB8-AS1,2.58E-10,-0.282485825,0.366,0.23,6.69E-06
DYNLL2,4.20E-11,-0.283160222,0.285,0.173,1.09E-06
RNPS1,2.09E-06,-0.28318259,0.651,0.431,0.054262733
TFDP2,3.97E-13,-0.283557953,0.267,0.157,1.03E-08
RNF2,1.45E-13,-0.283654304,0.263,0.15,3.75E-09
VEGFB,8.95E-13,-0.284538776,0.521,0.32,2.32E-08
ARHGEF1,1.29E-13,-0.284639801,0.336,0.198,3.36E-09
CTBP1,4.64E-09,-0.285426597,0.43,0.28,0.000120339
CCNI,3.30E-10,-0.286213748,0.997,0.893,8.57E-06
